,pH.preference,Predicted pH (XGBoost)
485,7.51,6.979177
486,7.56,7.2356906
487,7.56,6.039129
488,7.56,7.4035916
489,7.56,6.5177503
490,7.56,6.18095
491,7.56,7.507184
492,7.6,7.3797483
493,7.63,7.7459497
494,7.65,7.2640123
495,7.65,7.631339
496,7.65,7.6860433
497,7.66,7.1509094
498,7.71,7.750913
499,7.72,6.6410813
500,7.72,7.7646413
501,7.72,7.3570457
502,7.72,7.207387
503,7.73,7.6948204
504,7.74,7.334723
505,7.76,6.7581024
506,7.77,7.589591
507,7.8,7.31247
508,7.84,6.9021454
509,7.86,7.2356906
510,7.86,7.2640123
511,7.86,6.777647
512,7.86,7.2426233
513,7.86,7.657924
514,7.86,6.909688
515,7.88,7.0630584
516,7.9,7.683465
517,7.93,7.2231164
518,7.99,7.4611797
519,7.99,7.601449
520,7.99,6.8700695
521,8.0,7.187178
522,8.0,8.004721
523,8.0,7.9137154
524,8.08,7.421507
525,8.08,8.014944
526,8.18,7.0787244
527,4.69,4.756815
528,5.81,6.036683
529,7.0,6.9311533
530,7.79,7.4827213
531,7.72,7.368537
532,4.03,4.201278
533,4.25,4.2953925
534,4.44,4.741409
535,4.56,4.659479
536,4.63,4.8690476
537,4.63,4.8916388
538,4.63,4.5833364
539,4.73,4.5269947
540,4.8,6.7328773
541,4.8,4.8591466
542,4.8,5.3580055
543,5.0,4.5163307
544,5.0,5.0147095
545,5.05,5.0210185
546,5.05,5.0320134
547,5.05,4.741409
548,5.05,5.5547705
549,5.1,5.8358026
550,5.11,5.2333617
551,5.2,5.8367786
552,5.23,5.8294225
553,5.23,5.027729
554,5.42,5.4040504
555,5.44,5.898491
556,5.5,5.04774
557,5.5,5.5286756
558,5.5,5.717981
559,5.5,5.256234
560,5.5,5.4871683
561,5.5,5.324228
562,5.5,5.5531135
563,5.53,6.0885425
564,5.57,5.569499
565,5.57,6.0991898
566,5.57,6.2089047
567,5.61,6.271428
568,5.63,5.686467
569,5.63,5.730754
570,5.63,5.610768
571,5.63,5.882759
572,5.63,6.073178
573,5.67,5.7341185
574,5.67,6.2773495
575,5.74,5.761525
576,5.74,6.230073
577,5.76,5.7590275
578,5.79,5.820982
579,5.8,5.900285
580,5.8,6.216396
581,5.85,7.0787244
582,5.85,6.909688
583,5.86,5.79291
584,5.87,6.4716253
585,5.88,5.7403073
586,5.89,6.0253963
587,5.9,5.861344
588,5.9,5.7974744
589,5.9,6.198988
590,5.9,5.9919605
591,5.96,6.691453
592,5.96,6.0979495
593,5.98,5.9918575
594,6.02,6.8758435
595,6.02,6.8700695
596,6.03,6.777647
597,6.03,5.9795737
598,6.05,5.6005177
599,6.05,6.2073317
600,6.05,6.0251827
601,6.06,7.211827
602,6.09,5.2443905
603,6.11,6.6638255
604,6.13,6.378304
605,6.16,6.1485047
606,6.2,6.002926
607,6.22,6.2910385
608,6.24,6.6410813
609,6.24,6.4973164
610,6.28,6.548269
611,6.28,6.6638255
612,6.28,6.676868
613,6.28,6.1799927
614,6.28,6.3405485
615,6.28,6.3454876
616,6.29,6.587406
617,6.3,6.7078757
618,6.3,6.89797
619,6.31,6.5558634
620,6.38,6.756981
621,6.4,6.6488395
622,6.4,6.736972
623,6.42,6.6543126
624,6.42,6.6708484
625,6.42,6.382134
626,6.42,6.886038
627,6.43,7.0630584
628,6.44,6.975432
629,6.46,6.3002524
630,6.47,6.2778625
631,6.47,7.1277604
632,6.47,6.83663
633,6.48,7.044839
634,6.51,6.587897
635,6.51,6.17031
636,6.53,7.136366
637,6.53,5.999161
638,6.54,7.31247
639,6.54,7.0630584
640,6.54,6.5637064
641,6.57,6.8959084
642,6.57,5.94528
643,6.58,6.5703506
644,6.58,6.55747
645,6.58,7.165016
646,6.6,6.6410813
647,6.6,6.6394095
648,6.6,6.587897
649,6.6,6.671711
650,6.62,6.9311533
651,6.62,6.575188
652,6.62,6.540222
653,6.64,6.6886487
654,6.69,6.7582545
655,6.81,6.9021454
656,6.83,6.6440086
657,6.94,6.9347086
658,7.82,7.771996
659,7.88,7.165016
660,7.9,7.7865753
661,7.9,7.735965
662,7.9,7.9116707
663,7.9,7.624739
664,7.9,7.8239365
665,7.91,7.2023354
666,7.91,7.3972692
667,7.91,7.346336
668,7.94,7.353967
669,7.94,7.138838
670,7.94,7.917971
671,7.94,7.762697
