ASV,pH.preference,"Predicted pH (XGBoost, permutation)"
364,7.84,7.105822
365,7.87,6.6223073
366,7.87,7.642177
367,7.9,7.5593953
368,7.9,7.3752785
369,7.9,7.570874
370,7.97,7.198568
371,8.0,7.755854
372,8.0,6.528666
373,8.03,6.8943205
374,8.06,7.3752785
375,8.08,7.581773
376,8.08,7.10209
377,8.27,8.213111
378,6.65,6.656855
379,7.49,6.337058
380,7.86,6.9484987
381,4.52,4.9104223
382,4.57,4.5012393
383,4.57,5.720495
384,4.81,6.199753
385,4.89,5.512722
386,4.9,6.5721283
387,4.9,6.4263325
388,5.07,7.149156
389,5.11,6.659993
390,5.2,5.54399
391,5.2,5.0606036
392,5.2,5.8741465
393,5.21,6.2169843
394,5.21,5.565561
395,5.21,6.031133
396,5.33,5.7607093
397,5.61,6.2169843
398,5.97,6.0998106
399,5.99,6.676014
400,6.08,6.1944313
401,6.12,6.518461
402,6.14,6.141736
403,6.22,6.474054
404,6.32,5.7771535
405,6.39,6.714488
406,6.4,6.489415
407,6.4,6.058878
408,6.4,6.4828463
409,6.46,6.88789
410,6.46,6.307631
411,6.46,5.703144
412,6.46,6.3568053
413,6.49,6.730967
414,6.49,6.517586
415,6.5,6.4634533
416,6.51,6.8441215
417,6.53,6.141028
418,6.55,6.7884116
419,6.55,6.5045485
420,6.58,6.399669
421,6.59,6.676014
422,6.6,6.339619
423,6.62,6.2169843
424,6.65,6.2169843
425,6.65,5.745853
426,6.66,6.89212
427,6.66,6.506771
428,6.69,6.9742885
429,6.74,6.7222824
430,6.76,6.396893
431,6.76,6.022902
432,6.77,6.834725
433,6.77,6.7019296
434,6.78,6.659993
435,6.78,7.072834
436,6.78,6.1710825
437,6.8,6.734134
438,6.82,6.312395
439,6.82,6.959367
440,6.82,7.0569987
441,6.82,6.2504845
442,6.87,6.5011997
443,6.88,6.496192
444,6.88,6.77439
445,6.91,7.039557
446,6.91,7.0323887
447,6.91,6.3889065
448,6.91,6.193039
449,7.0,7.163754
450,7.02,7.039557
451,7.02,6.8788457
452,7.02,6.4125576
453,7.05,6.8988338
454,7.06,6.836317
455,7.08,6.6339045
456,7.1,6.7758465
457,7.1,7.349805
458,7.12,6.930999
459,7.13,6.3067427
460,7.17,6.913061
461,7.17,6.6758757
462,7.18,6.926011
463,7.18,6.8114862
464,7.21,6.659993
465,7.24,6.8944535
466,7.27,6.5319943
467,7.33,6.442642
468,7.35,6.9353657
469,7.38,6.830289
470,7.4,6.929428
471,7.4,6.7908783
472,7.42,6.7986135
473,7.43,7.415971
474,7.45,6.870418
475,7.45,7.558613
476,7.45,6.8331437
477,7.45,6.740626
478,7.45,7.076703
479,7.46,6.9353657
480,7.46,6.6469717
481,7.5,7.413582
